sessionID,time,speaker,q_id,emotion,text
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:37:22 CDT 2016,U,EP3A,I,no i didn���t know that
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:37:22 CDT 2016,HG,EP3A,I,Do you ever wonder about the condition of your heart?
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:37:41 CDT 2016,U,RP2B,I,"don���t know.. yes, I guess?"
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:37:41 CDT 2016,HG,RP2B,I,Many tai chi exercises help build muscle mass. You can do it from the comfort of your own home at a time that���s convenient for you. Would you like me to tell you more about it?
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:38:03 CDT 2016,U,EP3A,NI,ok
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:38:03 CDT 2016,HG,EP3A,NI,Do you ever wonder about the condition of your heart?
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:38:38 CDT 2016,U,EP3B,I,sometimes
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:38:38 CDT 2016,HG,EP3B,I,Having a healthy heart can add years to your life. What do you think is a good way to take care of your heart?
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:38:38 CDT 2016,U,EP3B,SI,why do you ask?
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:38:38 CDT 2016,HG,EP3B,SI,Having a healthy heart can add years to your life. What do you think is a good way to take care of your heart?
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:38:38 CDT 2016,U,EP3B,SI,not really
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:38:38 CDT 2016,HG,EP3B,SI,Having a healthy heart can add years to your life. What do you think is a good way to take care of your heart?
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:39:13 CDT 2016,U,EP3C,I,cardio
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:39:13 CDT 2016,HG,EP3C,I,Do you think you would want to do an exercise like tai chi to help take care of your heart?
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:39:34 CDT 2016,U,EP3C,I,"of course, i want to live a long healthy life"
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:39:34 CDT 2016,HG,EP3C,I,Do you think you would want to do an exercise like tai chi to help take care of your heart?
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:39:34 CDT 2016,U,EP4A,I,maybe
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:39:34 CDT 2016,HG,EP4A,I,Have you ever noticed how some people get stressed out all the time? How do you take care of the stress in your life?
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:39:48 CDT 2016,U,EP4A,SI,"yes, sounds good"
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:39:48 CDT 2016,HG,EP4A,SI,Have you ever noticed how some people get stressed out all the time? How do you take care of the stress in your life?
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:39:56 CDT 2016,U,EP4B,I,I sleep
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:39:56 CDT 2016,HG,EP4B,I,Did you know that as little as one hour of tai chi can help you deal with stress?
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:40:03 CDT 2016,U,RN5A,I,really?
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:40:03 CDT 2016,HG,RN5A,I,Some people have trouble with all the memorization when taking exams. How would you rate your memory?
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:40:12 CDT 2016,U,RP5B,I,ok. average
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:40:12 CDT 2016,HG,RP5B,I,"Tai chi actually increases blood flow to the brain, which improves cognitive and memory function. Do you think this could help you?"
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:40:26 CDT 2016,U,EP4B,I,i make sure to do something fun to break up my week
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:40:26 CDT 2016,HG,EP4B,I,Did you know that as little as one hour of tai chi can help you deal with stress?
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:40:35 CDT 2016,U,RP6A,I,sure. why not
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:40:35 CDT 2016,HG,RP6A,I,Even slight exercise can have huge lasting results. Did you know that people who exercise just 15 minutes a day have a 14 lower mortality rate? What are your thoughts on exercise?
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:40:39 CDT 2016,U,RN5A,I,no i didn���t know that
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:40:39 CDT 2016,HG,RN5A,I,Some people have trouble with all the memorization when taking exams. How would you rate your memory?
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:40:56 CDT 2016,U,RN5B,SI,i think it���s pretty good
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:40:56 CDT 2016,HG,RN5B,SI,"Tai chi actually increases blood flow to the brain, which improves cognitive memory and cognitive function. Do you think this could help you?"
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:41:01 CDT 2016,U,RP6B,I,"it is good to do it, but hard to get to sometimes"
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:41:01 CDT 2016,HG,RP6B,I,Is a tai chi exercise session something you would consider trying?
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:41:11 CDT 2016,U,RN7A,I,yes 
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:41:11 CDT 2016,HG,RN7A,I,Depression can have a negative effect on your health. Your mind is important to your overall health. Is that something that worries you?
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:41:11 CDT 2016,U,CONCLTHANKS,I,sure
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:41:11 CDT 2016,HG,CONCLTHANKS,I,"Well, thanks for talking to me. Would you be interested in learning more about tai chi?"
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:41:17 CDT 2016,U,CONCLPRINT,I,yes
84B498B1EE9B0E65B04B86D9024A6A1F,Thu Oct 13 11:41:17 CDT 2016,HG,CONCLPRINT,I,END
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:41:36 CDT 2016,U,RN7B,I,"i guess so, i like to be happy"
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:41:36 CDT 2016,HG,RN7B,I,Tai chi helps you focus on the balance of your mind and body. Do you think this is something that can help you?
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:41:49 CDT 2016,U,CONCLTHANKS,I,fo sure
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:41:49 CDT 2016,HG,CONCLTHANKS,I,"Well, thanks for talking to me. Would you be interested in learning more about tai chi?"
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:42:00 CDT 2016,U,CONCLPRINT,I,sure
20E797AD35F8CA6F85C005D48D210840,Thu Oct 13 11:42:00 CDT 2016,HG,CONCLPRINT,I,END
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:36:47 CDT 2016,HG,INTRO,,"Hi, I am the health guru. How are you?"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:37:02 CDT 2016,HG,INTRO,,"Hi, I am the health guru. How are you?"
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:37:25 CDT 2016,U,RP1A,I,Hey
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:37:25 CDT 2016,HG,RP1A,I,Controlling your weight is beneficial to your health. What do you do to stay healthy?
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:37:30 CDT 2016,U,RP1A,I,"fine
"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:37:30 CDT 2016,HG,RP1A,I,Controlling your weight is beneficial to your health. What do you do to stay healthy?
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:37:38 CDT 2016,U,RP1B,SI,nothing much
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:37:38 CDT 2016,HG,RP1B,SI,"Well, practicing tai chi promotes weight loss. Would you be interested in learning more about how tai chi helps with weight loss?"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:37:45 CDT 2016,U,EP1B,I,"I huff and puff
"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:37:45 CDT 2016,HG,EP1B,I,"Practicing tai chi promotes weight loss, keeping you in good shape. Do you want to hear more about how tai chi helps with weight loss?"
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:37:54 CDT 2016,U,EP2A,I,Yes
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:37:54 CDT 2016,HG,EP2A,I,"As I‘m sure you know, working out is a great way to build muscle. How strong would you say you are now?"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:38:02 CDT 2016,U,RP2A,I,"yes
"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:38:02 CDT 2016,HG,RP2A,I,"When you consider muscular strength, do you think of yourself as strong?"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:38:21 CDT 2016,U,RP2B,I,"yes. very
"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:38:21 CDT 2016,HG,RP2B,I,Many tai chi exercises help build muscle mass. You can do it from the comfort of your own home at a time that‘s convenient for you. Would you like me to tell you more about it?
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:38:40 CDT 2016,U,EP2B,I,Im no that strong
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:38:40 CDT 2016,HG,EP2B,I,"Many exercises in tai chi help build muscle, which can make you look fit and in-shape. Did you know that tai chi can be done from the comfort of your own home at any convenient time and it‘s not strenuous?"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:38:47 CDT 2016,U,RP2C,I,"sure
"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:38:47 CDT 2016,HG,RP2C,I,Did you know that each position in tai chi exercises your upper and lower body strength with gentle movements and positions that target muscle groups?
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:39:07 CDT 2016,U,EP3A,I,"cool. how many are tere?
"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:39:07 CDT 2016,HG,EP3A,I,Do you ever wonder about the condition of your heart?
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:39:18 CDT 2016,U,EP3A,I,I did not know that. Tell me more
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:39:18 CDT 2016,HG,EP3A,I,Do you ever wonder about the condition of your heart?
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:39:28 CDT 2016,U,EP3B,NI,"no
"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:39:28 CDT 2016,HG,EP3B,NI,Having a healthy heart can add years to your life. What do you think is a good way to take care of your heart?
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:39:35 CDT 2016,U,EP3B,I,Yes I do.
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:39:35 CDT 2016,HG,EP3B,I,Having a healthy heart can add years to your life. What do you think is a good way to take care of your heart?
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:39:44 CDT 2016,U,EP3C,I,"doing aerobic exercises
"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:39:44 CDT 2016,HG,EP3C,I,Do you think you would want to do an exercise like tai chi to help take care of your heart?
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:39:50 CDT 2016,U,EP3C,I,Excercise
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:39:50 CDT 2016,HG,EP3C,I,Do you think you would want to do an exercise like tai chi to help take care of your heart?
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:39:56 CDT 2016,U,EP4A,I,"sure
"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:39:56 CDT 2016,HG,EP4A,I,Have you ever noticed how some people get stressed out all the time? How do you take care of the stress in your life?
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:40:09 CDT 2016,U,EP4B,I,"I sleep tight
"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:40:09 CDT 2016,HG,EP4B,I,Did you know that as little as one hour of tai chi can help you deal with stress?
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:40:23 CDT 2016,U,RN5A,I,"wow
"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:40:23 CDT 2016,HG,RN5A,I,Some people have trouble with all the memorization when taking exams. How would you rate your memory?
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:40:30 CDT 2016,U,EP4A,I,yes I think so.
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:40:30 CDT 2016,HG,EP4A,I,Have you ever noticed how some people get stressed out all the time? How do you take care of the stress in your life?
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:40:54 CDT 2016,U,RN5B,NI,"what does my memory have to do with anything?
"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:40:54 CDT 2016,HG,RN5B,NI,"Tai chi actually increases blood flow to the brain, which improves cognitive memory and cognitive function. Do you think this could help you?"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:41:10 CDT 2016,U,RN6A,SI,"oh maybe
"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:41:10 CDT 2016,HG,RN6A,SI,Not exercising is detrimental to your health. Did you know that people who do not exercise have a higher mortality rate? What are your thoughts on exercise?
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:41:32 CDT 2016,U,RN6B,I,"I don‘ want to die
"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:41:32 CDT 2016,HG,RN6B,I,Tai chi is great way to meet the exercise requirements for a healthy lifestyle. Is a tai chi exercise session something you would consider trying?
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:41:44 CDT 2016,U,CONCLTHANKS,I,"sure
"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:41:44 CDT 2016,HG,CONCLTHANKS,I,"Well, thanks for talking to me. Would you be interested in learning more about tai chi?"
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:41:54 CDT 2016,U,EP4B,I,i read and sleep
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:41:54 CDT 2016,HG,EP4B,I,Did you know that as little as one hour of tai chi can help you deal with stress?
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:42:01 CDT 2016,U,CONCLPRINT,NI,"i said yes, didn‘t I
"
C8D18C339250356CA7532627C6AAF673,Tue Oct 18 15:42:01 CDT 2016,HG,CONCLPRINT,NI,@END
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:42:14 CDT 2016,U,RN5A,I,No i didnt know that
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:42:14 CDT 2016,HG,RN5A,I,Some people have trouble with all the memorization when taking exams. How would you rate your memory?
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:42:36 CDT 2016,U,RP5B,I,4
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:42:36 CDT 2016,HG,RP5B,I,"Tai chi actually increases blood flow to the brain, which improves cognitive and memory function. Do you think this could help you?"
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:43:10 CDT 2016,U,RP6A,I,yes it could
76E3FEA35251BA49687BD338ED25A758,Tue Oct 18 15:43:10 CDT 2016,HG,RP6A,I,Even slight exercise can have huge lasting results. Did you know that people who exercise just 15 minutes a day have a 14% lower mortality rate? What are your thoughts on exercise?
93A8B41E8562BDFBC1033B650E35E5DF,Tue Oct 18 15:48:27 CDT 2016,HG,INTRO,,"Hi, I am the health guru. How are you?"
93A8B41E8562BDFBC1033B650E35E5DF,Tue Oct 18 15:48:36 CDT 2016,U,RP1A,I,Hey
93A8B41E8562BDFBC1033B650E35E5DF,Tue Oct 18 15:48:36 CDT 2016,HG,RP1A,I,Controlling your weight is beneficial to your health. What do you do to stay healthy?
93A8B41E8562BDFBC1033B650E35E5DF,Tue Oct 18 15:49:08 CDT 2016,U,EP2A,NI,nothing
93A8B41E8562BDFBC1033B650E35E5DF,Tue Oct 18 15:49:08 CDT 2016,HG,EP2A,NI,"As I‘m sure you know, working out is a great way to build muscle. How strong would you say you are now?"
C60294C6E0D83846395749A2B73E41D5,Tue Oct 18 15:49:11 CDT 2016,HG,INTRO,,"Hi, I am the health guru. How are you?"
D9C1D28FEA1ED68F593F81DDBF237F81,Tue Oct 18 15:58:36 CDT 2016,HG,INTRO,,"Hi, I am the health guru. How are you?"
D9C1D28FEA1ED68F593F81DDBF237F81,Tue Oct 18 15:58:42 CDT 2016,U,RP1A,I,Hey
D9C1D28FEA1ED68F593F81DDBF237F81,Tue Oct 18 15:58:43 CDT 2016,HG,RP1A,I,Controlling your weight is beneficial to your health. What do you do to stay healthy?
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 15:59:00 CDT 2016,HG,INTRO,,"Hi, I am the health guru. How are you?"
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 15:59:01 CDT 2016,HG,INTRO,,"Hi, I am the health guru. How are you?"
D9C1D28FEA1ED68F593F81DDBF237F81,Tue Oct 18 15:59:13 CDT 2016,U,EP2A,NI,nothing much
D9C1D28FEA1ED68F593F81DDBF237F81,Tue Oct 18 15:59:13 CDT 2016,HG,EP2A,NI,"As I‘m sure you know, working out is a great way to build muscle. How strong would you say you are now?"
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 15:59:18 CDT 2016,U,RP1A,I,"fine and you?
"
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 15:59:18 CDT 2016,HG,RP1A,I,Controlling your weight is beneficial to your health. What do you do to stay healthy?
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 15:59:24 CDT 2016,U,RP1A,NI,"not so good
"
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 15:59:24 CDT 2016,HG,RP1A,NI,Controlling your weight is beneficial to your health. What do you do to stay healthy?
D9C1D28FEA1ED68F593F81DDBF237F81,Tue Oct 18 15:59:31 CDT 2016,U,EP2B,NI,Im not that strong
D9C1D28FEA1ED68F593F81DDBF237F81,Tue Oct 18 15:59:31 CDT 2016,HG,EP2B,NI,"Many exercises in tai chi help build muscle, which can make you look fit and in-shape. Did you know that tai chi can be done from the comfort of your own home at any convenient time and it‘s not strenuous?"
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 15:59:37 CDT 2016,U,EP1B,I,"eat a lot
"
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 15:59:37 CDT 2016,HG,EP1B,I,"Practicing tai chi promotes weight loss, keeping you in good shape. Do you want to hear more about how tai chi helps with weight loss?"
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 15:59:46 CDT 2016,U,EP1B,I,"excercise every day
"
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 15:59:46 CDT 2016,HG,EP1B,I,"Practicing tai chi promotes weight loss, keeping you in good shape. Do you want to hear more about how tai chi helps with weight loss?"
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 15:59:52 CDT 2016,U,RP2A,I,"sure
"
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 15:59:52 CDT 2016,HG,RP2A,I,"When you consider muscular strength, do you think of yourself as strong?"
D9C1D28FEA1ED68F593F81DDBF237F81,Tue Oct 18 15:59:58 CDT 2016,U,EP3A,I,nice what else
D9C1D28FEA1ED68F593F81DDBF237F81,Tue Oct 18 15:59:58 CDT 2016,HG,EP3A,I,Do you ever wonder about the condition of your heart?
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 16:00:04 CDT 2016,U,RP2A,I,"sure
"
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 16:00:04 CDT 2016,HG,RP2A,I,"When you consider muscular strength, do you think of yourself as strong?"
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 16:00:08 CDT 2016,U,RP2B,I,"yes
"
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 16:00:08 CDT 2016,HG,RP2B,I,Many tai chi exercises help build muscle mass. You can do it from the comfort of your own home at a time that‘s convenient for you. Would you like me to tell you more about it?
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 16:00:15 CDT 2016,U,RP2B,SI,"a bit
"
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 16:00:15 CDT 2016,HG,RP2B,SI,Many tai chi exercises help build muscle mass. You can do it from the comfort of your own home at a time that‘s convenient for you. Would you like me to tell you more about it?
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 16:00:29 CDT 2016,U,RP2C,I,"yes, please
"
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 16:00:29 CDT 2016,HG,RP2C,I,Did you know that each position in tai chi exercises your upper and lower body strength with gentle movements and positions that target muscle groups?
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 16:00:32 CDT 2016,U,RP2C,I,"yes
"
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 16:00:32 CDT 2016,HG,RP2C,I,Did you know that each position in tai chi exercises your upper and lower body strength with gentle movements and positions that target muscle groups?
D9C1D28FEA1ED68F593F81DDBF237F81,Tue Oct 18 16:00:40 CDT 2016,U,EP3B,SI,no i dont
D9C1D28FEA1ED68F593F81DDBF237F81,Tue Oct 18 16:00:40 CDT 2016,HG,EP3B,SI,Having a healthy heart can add years to your life. What do you think is a good way to take care of your heart?
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 16:00:46 CDT 2016,U,EP3A,SI,"oh, ok
"
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 16:00:46 CDT 2016,HG,EP3A,SI,Do you ever wonder about the condition of your heart?
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 16:00:57 CDT 2016,U,EP3A,NI,"I don‘t believe it!~
"
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 16:00:57 CDT 2016,HG,EP3A,NI,Do you ever wonder about the condition of your heart?
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 16:01:01 CDT 2016,U,EP3B,NI,"not really
"
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 16:01:01 CDT 2016,HG,EP3B,NI,Having a healthy heart can add years to your life. What do you think is a good way to take care of your heart?
D9C1D28FEA1ED68F593F81DDBF237F81,Tue Oct 18 16:01:07 CDT 2016,U,EP3C,I,running
D9C1D28FEA1ED68F593F81DDBF237F81,Tue Oct 18 16:01:07 CDT 2016,HG,EP3C,I,Do you think you would want to do an exercise like tai chi to help take care of your heart?
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 16:01:14 CDT 2016,U,EP3B,I,"yes. all the time why?
"
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 16:01:14 CDT 2016,HG,EP3B,I,Having a healthy heart can add years to your life. What do you think is a good way to take care of your heart?
D9C1D28FEA1ED68F593F81DDBF237F81,Tue Oct 18 16:01:26 CDT 2016,U,EP4A,I,yes
D9C1D28FEA1ED68F593F81DDBF237F81,Tue Oct 18 16:01:26 CDT 2016,HG,EP4A,I,Have you ever noticed how some people get stressed out all the time? How do you take care of the stress in your life?
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 16:01:32 CDT 2016,U,EP3B,I,"eating healthy, why?
"
D717B4391D24AFE203E1A6A0B5F7CC51,Tue Oct 18 16:01:32 CDT 2016,HG,EP3B,I,Having a healthy heart can add years to your life. What do you think is a good way to take care of your heart?
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 16:01:38 CDT 2016,U,EP3C,I,"running
"
3B8E3ECC7D0CF5FB80C021C2D05B749A,Tue Oct 18 16:01:38 CDT 2016,HG,EP3C,I,Do you think you would want to do an exercise like tai chi to help take care of your heart?
D9C1D28FEA1ED68F593F81DDBF237F81,Tue Oct 18 16:01:44 CDT 2016,U,EP4B,SI,i read and sleep
